Residence type,Place of residence,Age,Profession,Level of education,Family type,Family having children,Head of the family,Monthly income,Monthly income percentage allocated for wife,First torture experience,First type of torture,Current form of abuse,Place of most abuse,Type of marriage,Spouse divorced before the current marriage,Duration of current marriage,Extramarital affairs?,Level of satisfaction with marital life,Spouse physically capable of having sex,Level of satisfaction with sexual relationship patterns,Do you want Bangladesh to pass male torture law?,Are you (male) a victim of domestic abuse by your wife?
rural,Barisal,27,Employed,Graduate,Single family,married with children,1,25001-50000,51-75%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,1-3 years,Wife involved in adultery,Fully dissatisfied,Husband is not capable,Fully dissatisfied,No,0
urban,Sylhet,32,Abroad,Graduate,Joint family (with in-laws),married with children,1,0,0%,Between 2nd to 6th month of marriage,"Physical, mental, verbal","Physical, mental, verbal",In the house,Love Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Fully satisfied,Wife is not capable,Partially dissatisfied,Yes,1
rural,Khulna,34,Businessman,High school,Joint family (without in-laws),married without children,1,15001-25000,31-50%,Between 2nd to 6th month of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Wife previously divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
suburban,Mymensingh,29,Businessman,Postgraduate,Joint family (with in-laws),married with children,0,25001-50000,31-50%,Within the 1st month of marriage,Mental,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Husband involved in adultery,Dissatisfied,Both are incapable,Satisfied,Yes,0
urban,Khulna,24,Unemployed,High school,Single family,married without children,0,0,0%,Between 2nd to 6th month of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Chittagong,31,Unemployed,High school,Joint family (without in-laws),married with children,1,0,0%,Within 6 months to 12 months of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Satisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Chittagong,34,Businessman,Postgraduate,Single family,married with children,1,15001-25000,51-75%,After 12 months of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Fully dissatisfied,No,0
suburban,Chittagong,23,Businessman,Graduate,Joint family (with in-laws),married without children,0,25001-50000,1-10%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
suburban,Comilla,41,Unemployed,Postgraduate,Single family,married with children,1,0,0%,Within 6 months to 12 months of marriage,Mental,Verbal,In the house,Love Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Dhaka,32,Unemployed,Postgraduate,Joint family (with in-laws),married with children,1,0,0%,After 12 months of marriage,"Mental, verbal","Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Love Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Rangpur,23,Businessman,Graduate,Single family,married without children,1,0,0%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Love Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Fully dissatisfied,Yes,0
suburban,Barisal,24,Employed,Postgraduate,Joint family (with in-laws),married with children,1,5001-10000,51-75%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,0-1 year,Husband involved in adultery,Fully dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
suburban,Comilla,30,Unemployed,Graduate,Joint family (with in-laws),married with children,1,0,0%,Within the 1st month of marriage,Verbal,Verbal,In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Rangpur,41,Businessman,High school,Joint family (with in-laws),married with children,1,25001-50000,51-75%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Wife involved in adultery,Fully dissatisfied,Both are incapable,Dissatisfied,Yes,1
suburban,Chittagong,44,Employed,Postgraduate,Single family,married with children,1,5001-10000,11-30%,Within 6 months to 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal",Outside (in front of everyone),Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Chittagong,43,Unemployed,High school,Joint family (with in-laws),married with children,1,0,0%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse",Verbal,Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Chittagong,31,Businessman,High school,Joint family (without in-laws),married with children,0,15001-25000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully satisfied,Husband is not capable,Dissatisfied,Yes,0
suburban,Dhaka,21,Employed,High school,Joint family (with in-laws),married with children,1,50000-More,11-30%,Within 6 months to 12 months of marriage,Mental,Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Partially dissatisfied,Both are incapable,Fully satisfied,No,0
rural,Rangpur,20,Employed,Graduate,Joint family (with in-laws),married with children,1,5001-10000,31-50%,Within 6 months to 12 months of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,No,0
suburban,Rajshahi,24,Employed,Graduate,Joint family (with in-laws),married without children,1,25001-50000,0%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse",Mental,Both indoors and outdoors,Love Marriage,Husband previously divorced,More than 10 years,Husband involved in adultery,Partially dissatisfied,Both are capable,Partially dissatisfied,Yes,0
rural,Comilla,32,Abroad,Graduate,Joint family (with in-laws),married with children,0,5001-10000,31-50%,Between 2nd to 6th month of marriage,"Physical, mental, verbal","Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Wife is not capable,Dissatisfied,Yes,0
rural,Sylhet,28,Employed,Graduate,Joint family (with in-laws),married without children,1,15001-25000,31-50%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Mental,In the house,Love Marriage,Husband previously divorced,1-3 years,Husband involved in adultery,Dissatisfied,Husband is not capable,Dissatisfied,Yes,0
urban,Chittagong,20,Employed,Graduate,Joint family (with in-laws),married without children,1,15001-25000,31-50%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Both are capable,Satisfied,Yes,0
suburban,Mymensingh,27,Unemployed,Postgraduate,Single family,married with children,1,0,0%,After 12 months of marriage,Mental,Mental,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Wife is not capable,Dissatisfied,Yes,1
suburban,Chittagong,20,Employed,Graduate,Single family,married with children,1,50000-More,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal","Physical, verbal",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Partially dissatisfied,Wife is not capable,Dissatisfied,Yes,0
suburban,Rangpur,40,Employed,High school,Joint family (without in-laws),married with children,1,25001-50000,51-75%,After 12 months of marriage,Verbal,Mental,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
urban,Dhaka,44,Employed,High school,Joint family (with in-laws),married without children,1,25001-50000,1-10%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",Outside (in front of everyone),Love Marriage,Husband previously divorced,0-1 year,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,No,1
urban,Chittagong,25,Unemployed,High school,Joint family (without in-laws),married without children,1,0,0%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Fully dissatisfied,Husband is not capable,Fully dissatisfied,Yes,0
rural,Dhaka,43,Employed,Graduate,Joint family (with in-laws),married without children,0,50000-More,31-50%,Within the 1st month of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Satisfied,Wife is not capable,Fully satisfied,Yes,1
urban,Chittagong,44,Employed,Graduate,Joint family (with in-laws),married without children,1,5001-10000,31-50%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Neither spouse is divorced,0-1 year,Neither spouse is involved in adultery,Fully dissatisfied,Both are incapable,Dissatisfied,No,0
suburban,Rajshahi,36,Employed,Graduate,Joint family (without in-laws),married without children,1,25001-50000,100%,After 12 months of marriage,Verbal,Mental,Both indoors and outdoors,Love Marriage,Neither spouse is divorced,3-5 years,Both involved in adultery,Fully dissatisfied,Both are capable,Fully dissatisfied,Yes,0
rural,Chittagong,31,Employed,Postgraduate,Single family,married with children,1,15001-25000,11-30%,Within the 1st month of marriage,Verbal,Verbal,Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,More than 10 years,Husband involved in adultery,Fully dissatisfied,Wife is not capable,Fully dissatisfied,Yes,0
rural,Khulna,38,Employed,Graduate,Joint family (with in-laws),married without children,0,0,0%,After 12 months of marriage,Mental,Verbal,In the house,Love Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Fully satisfied,Husband is not capable,Fully dissatisfied,No,0
urban,Dhaka,44,Businessman,Graduate,Joint family (with in-laws),married with children,1,5001-10000,11-30%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Neither spouse is divorced,0-1 year,Husband involved in adultery,Dissatisfied,Wife is not capable,Partially dissatisfied,Yes,1
urban,Dhaka,31,Businessman,Graduate,Joint family (with in-laws),married with children,1,25001-50000,11-30%,After 12 months of marriage,Mental,Verbal,In the house,Arranged Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Satisfied,Husband is not capable,Dissatisfied,Yes,0
suburban,Comilla,43,Businessman,Graduate,Joint family (with in-laws),married without children,1,25001-50000,31-50%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse",Verbal,Outside (in front of everyone),Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Partially dissatisfied,No,1
suburban,Dhaka,20,Employed,Graduate,Joint family (without in-laws),married without children,1,5001-10000,31-50%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Mental,In the house,Arranged Marriage,Husband previously divorced,3-5 years,Neither spouse is involved in adultery,Satisfied,Husband is not capable,Partially satisfied,Yes,0
suburban,Dhaka,44,Student,Postgraduate,Joint family (with in-laws),married without children,1,50000-More,1-10%,Within the 1st month of marriage,Verbal,"Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Love Marriage,Husband previously divorced,3-5 years,Wife involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Comilla,30,Employed,Graduate,Joint family (with in-laws),married with children,1,15001-25000,11-30%,After 12 months of marriage,Verbal,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,1
rural,Dhaka,33,Employed,Postgraduate,Single family,married with children,1,0,0%,After 12 months of marriage,Mental,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
suburban,Dhaka,25,Businessman,High school,Single family,married without children,1,25001-50000,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Husband involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,1
urban,Mymensingh,45,Employed,Graduate,Joint family (without in-laws),married without children,1,15001-25000,11-30%,Within the 1st month of marriage,Verbal,Mental,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Fully satisfied,Yes,1
suburban,Dhaka,29,Abroad,High school,Single family,married with children,1,25001-50000,11-30%,Within the 1st month of marriage,Verbal,Verbal,Both indoors and outdoors,Arranged Marriage,Neither spouse is divorced,1-3 years,Both involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,1
urban,Dhaka,30,Businessman,Graduate,Joint family (without in-laws),married with children,1,15001-25000,31-50%,After 12 months of marriage,Mental,Verbal,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Both are incapable,Fully dissatisfied,No,0
suburban,Dhaka,42,Businessman,High school,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,"Mental, verbal","Physical, mental, verbal",In the house,Love Marriage,Wife previously divorced,1-3 years,Husband involved in adultery,Partially dissatisfied,Wife is not capable,Dissatisfied,Yes,1
suburban,Dhaka,28,Employed,High school,Joint family (with in-laws),married with children,1,15001-25000,100%,After 12 months of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially satisfied,Husband is not capable,Fully satisfied,No,0
suburban,Khulna,23,Unemployed,Graduate,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal",Both indoors and outdoors,Love Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Partially dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
rural,Sylhet,36,Unemployed,Graduate,Joint family (with in-laws),married with children,1,0,0%,Between 2nd to 6th month of marriage,Verbal,"Mental, verbal",In the house,Arranged Marriage,Husband previously divorced,0-1 year,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Dissatisfied,No,0
suburban,Dhaka,41,Employed,Graduate,Joint family (with in-laws),married without children,1,25001-50000,11-30%,After 12 months of marriage,Verbal,Mental,In the house,Love Marriage,Wife previously divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Dissatisfied,Yes,0
suburban,Dhaka,23,Student,Postgraduate,Joint family (with in-laws),married with children,1,50000-More,51-75%,Within 6 months to 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Both previously divorced,1-3 years,Wife involved in adultery,Dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
suburban,Dhaka,25,Abroad,Graduate,Joint family (without in-laws),married without children,1,25001-50000,51-75%,Within the 1st month of marriage,Verbal,Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Satisfied,Husband is not capable,Fully dissatisfied,Yes,0
urban,Khulna,32,Businessman,Postgraduate,Joint family (without in-laws),married with children,0,50000-More,31-50%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,No,0
urban,Dhaka,32,Unemployed,High school,Joint family (with in-laws),married with children,1,0,0%,Within 6 months to 12 months of marriage,"Physical, verbal",Verbal,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Neither spouse is involved in adultery,Partially dissatisfied,Wife is not capable,Fully dissatisfied,No,1
rural,Rangpur,40,Employed,High school,Joint family (with in-laws),married without children,1,15001-25000,31-50%,After 12 months of marriage,Verbal,Mental,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Mymensingh,27,Employed,Graduate,Single family,married without children,1,15001-25000,51-75%,After 12 months of marriage,Verbal,"Physical, verbal",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Satisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Dhaka,44,Unemployed,Graduate,Joint family (with in-laws),married with children,1,0,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Love Marriage,Wife previously divorced,0-1 year,Husband involved in adultery,Satisfied,Both are capable,Partially satisfied,Yes,0
urban,Dhaka,30,Employed,Graduate,Single family,married without children,1,5001-10000,11-30%,After 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
rural,Dhaka,21,Employed,High school,Joint family (without in-laws),married without children,0,15001-25000,31-50%,Between 2nd to 6th month of marriage,Verbal,"Physical, mental, verbal",Both indoors and outdoors,Love Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Satisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Dhaka,44,Employed,Graduate,Single family,married without children,1,5001-10000,31-50%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Mental,In the house,Love Marriage,Wife previously divorced,3-5 years,Both involved in adultery,Fully dissatisfied,Wife is not capable,Partially dissatisfied,Yes,0
suburban,Chittagong,43,Employed,High school,Joint family (without in-laws),married without children,1,5001-10000,51-75%,Within 6 months to 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Dissatisfied,Both are incapable,Fully dissatisfied,No,1
rural,Rangpur,36,Student,High school,Single family,married with children,1,5001-10000,51-75%,Within the 1st month of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Both previously divorced,1-3 years,Wife involved in adultery,Dissatisfied,Both are incapable,Dissatisfied,Yes,0
suburban,Mymensingh,30,Businessman,High school,Single family,married without children,1,25001-50000,1-10%,Within the 1st month of marriage,Mental,"Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Wife previously divorced,3-5 years,Both involved in adultery,Partially dissatisfied,Husband is not capable,Satisfied,Yes,0
suburban,Chittagong,20,Employed,Postgraduate,Single family,married without children,1,5001-10000,31-50%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse",Mental,In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
suburban,Sylhet,43,Unemployed,Graduate,Joint family (with in-laws),married with children,1,0,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal",Both indoors and outdoors,Arranged Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Fully satisfied,Both are capable,Fully dissatisfied,Yes,0
suburban,Dhaka,25,Businessman,High school,Joint family (with in-laws),married with children,1,0,0%,Within the 1st month of marriage,Verbal,Verbal,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Dissatisfied,Both are capable,Dissatisfied,Yes,0
suburban,Dhaka,35,Unemployed,Postgraduate,Single family,married with children,1,0,0%,Within the 1st month of marriage,"Physical, mental, verbal, sexual abuse","Physical, mental, verbal, sexual abuse",Both indoors and outdoors,Arranged Marriage,Both previously divorced,More than 10 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Dhaka,44,Employed,Graduate,Joint family (with in-laws),married without children,0,0,0%,Within 6 months to 12 months of marriage,Verbal,Mental,Both indoors and outdoors,Arranged Marriage,Both previously divorced,0-1 year,Husband involved in adultery,Fully satisfied,Both are capable,Fully dissatisfied,Yes,0
suburban,Chittagong,45,Businessman,Graduate,Single family,married without children,1,15001-25000,11-30%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Dissatisfied,Yes,0
rural,Rajshahi,32,Abroad,Postgraduate,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Arranged Marriage,Wife previously divorced,0-1 year,Husband involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
suburban,Rangpur,37,Employed,Graduate,Joint family (with in-laws),married with children,0,15001-25000,31-50%,Within 6 months to 12 months of marriage,Mental,Mental,In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Both involved in adultery,Dissatisfied,Husband is not capable,Partially dissatisfied,No,0
urban,Rajshahi,41,Unemployed,High school,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,1-3 years,Husband involved in adultery,Fully dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
urban,Chittagong,36,Employed,High school,Joint family (with in-laws),married with children,1,25001-50000,1-10%,Within 6 months to 12 months of marriage,"Mental, verbal",Mental,Both indoors and outdoors,Love Marriage,Wife previously divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are incapable,Fully dissatisfied,Yes,0
urban,Rajshahi,21,Employed,Postgraduate,Single family,married with children,1,5001-10000,31-50%,Between 2nd to 6th month of marriage,"Physical, mental, verbal",Mental,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Both involved in adultery,Partially satisfied,Husband is not capable,Partially dissatisfied,Yes,0
rural,Dhaka,31,Businessman,High school,Joint family (without in-laws),married with children,1,15001-25000,51-75%,Within 6 months to 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Arranged Marriage,Husband previously divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Wife is not capable,Dissatisfied,No,1
urban,Khulna,39,Employed,Graduate,Single family,married without children,1,25001-50000,1-10%,Within the 1st month of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Both are capable,Partially dissatisfied,Yes,1
rural,Dhaka,42,Employed,Postgraduate,Joint family (with in-laws),married with children,1,15001-25000,1-10%,Within 6 months to 12 months of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Wife previously divorced,More than 10 years,Husband involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,No,1
urban,Rangpur,24,Unemployed,High school,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Arranged Marriage,Husband previously divorced,1-3 years,Husband involved in adultery,Fully dissatisfied,Husband is not capable,Dissatisfied,No,0
suburban,Khulna,28,Employed,High school,Single family,married with children,0,15001-25000,11-30%,Between 2nd to 6th month of marriage,"Physical, mental, verbal",Verbal,In the house,Love Marriage,Husband previously divorced,1-3 years,Neither spouse is involved in adultery,Partially satisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Dhaka,20,Businessman,Graduate,Joint family (with in-laws),married without children,1,50000-More,31-50%,Within 6 months to 12 months of marriage,Verbal,"Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,1-3 years,Husband involved in adultery,Partially dissatisfied,Both are incapable,Dissatisfied,Yes,0
urban,Barisal,41,Unemployed,High school,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,Mental,"Physical, mental, verbal",In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Partially dissatisfied,Yes,0
urban,Dhaka,36,Employed,Postgraduate,Single family,married with children,1,25001-50000,11-30%,After 12 months of marriage,Mental,Mental,In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Fully dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Chittagong,31,Unemployed,High school,Single family,married without children,0,0,0%,After 12 months of marriage,"Physical, mental, verbal","Physical, mental, verbal, sexual abuse",In the house,Arranged Marriage,Both previously divorced,3-5 years,Neither spouse is involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Dhaka,30,Businessman,Postgraduate,Single family,married with children,0,5001-10000,1-10%,After 12 months of marriage,"Physical, mental, verbal",Verbal,Outside (in front of everyone),Arranged Marriage,Husband previously divorced,1-3 years,Husband involved in adultery,Partially dissatisfied,Both are capable,Satisfied,Yes,0
suburban,Rajshahi,20,Businessman,High school,Single family,married without children,1,25001-50000,31-50%,Within 6 months to 12 months of marriage,Verbal,Mental,In the house,Love Marriage,Husband previously divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Both are capable,Dissatisfied,Yes,0
rural,Dhaka,24,Businessman,Graduate,Joint family (with in-laws),married with children,1,25001-50000,11-30%,After 12 months of marriage,Verbal,"Physical, mental, verbal",In the house,Love Marriage,Both previously divorced,0-1 year,Neither spouse is involved in adultery,Dissatisfied,Husband is not capable,Fully dissatisfied,Yes,1
suburban,Khulna,41,Unemployed,Postgraduate,Joint family (with in-laws),married without children,1,0,0%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Neither spouse is divorced,3-5 years,Neither spouse is involved in adultery,Fully dissatisfied,Husband is not capable,Partially satisfied,Yes,0
urban,Dhaka,31,Employed,High school,Single family,married with children,1,15001-25000,11-30%,After 12 months of marriage,Mental,"Mental, verbal",In the house,Love Marriage,Husband previously divorced,3-5 years,Wife involved in adultery,Partially dissatisfied,Both are capable,Fully dissatisfied,Yes,0
urban,Mymensingh,40,Employed,Graduate,Joint family (with in-laws),married with children,1,15001-25000,31-50%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,Both indoors and outdoors,Love Marriage,Both previously divorced,0-1 year,Husband involved in adultery,Fully satisfied,Husband is not capable,Dissatisfied,Yes,0
suburban,Khulna,26,Businessman,Graduate,Joint family (with in-laws),married with children,0,15001-25000,1-10%,Between 2nd to 6th month of marriage,"Physical, mental, verbal",Verbal,In the house,Arranged Marriage,Neither spouse is divorced,3-5 years,Wife involved in adultery,Dissatisfied,Wife is not capable,Dissatisfied,No,0
urban,Dhaka,29,Employed,Postgraduate,Joint family (without in-laws),married with children,1,25001-50000,51-75%,Between 2nd to 6th month of marriage,Verbal,"Mental, verbal",In the house,Love Marriage,Husband previously divorced,More than 10 years,Neither spouse is involved in adultery,Partially dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
urban,Dhaka,29,Employed,Postgraduate,Single family,married without children,1,15001-25000,0%,After 12 months of marriage,Verbal,"Mental, verbal",In the house,Arranged Marriage,Neither spouse is divorced,More than 10 years,Wife involved in adultery,Dissatisfied,Husband is not capable,Partially dissatisfied,Yes,0
suburban,Dhaka,27,Employed,Graduate,Joint family (with in-laws),married with children,1,5001-10000,31-50%,After 12 months of marriage,"Physical, mental, verbal, sexual abuse",Verbal,In the house,Love Marriage,Husband previously divorced,3-5 years,Neither spouse is involved in adultery,Dissatisfied,Both are capable,Fully dissatisfied,Yes,0
rural,Dhaka,42,Employed,Graduate,Single family,married with children,0,50000-More,1-10%,Within 6 months to 12 months of marriage,Verbal,"Physical, mental, verbal, sexual abuse",In the house,Love Marriage,Wife previously divorced,3-5 years,Both involved in adultery,Partially dissatisfied,Both are capable,Dissatisfied,No,0
